insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,10,,,,0,0.836,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,20,,,,0.836,1.16,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,30,,,,1.996,0.628,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,40,,,,2.624,0.606,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,50,,,,3.23,0.74,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,60,,,,3.97,1.385,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,70,,,,5.355,1.09,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,80,,,,6.446,0.276,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,90,,,,6.722,5.753,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,100,,,,12.475,0.998,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,110,,,,13.473,5.737,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,120,,,,19.21,5.292,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,130,,,,24.503,1.703,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,140,,,,26.206,18.113,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,150,,,,44.319,17.947,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,160,,,,62.266,17.977,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,170,,,,80.243,17.604,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,180,,,,97.848,17.857,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,190,,,,115.705,18.093,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,200,,,,133.798,17.544,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,210,,,,151.342,17.53,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,220,,,,168.872,17.691,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,230,,,,186.563,17.929,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,240,,,,204.492,18.294,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,250,,,,222.785,18.095,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,260,,,,240.881,17.695,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,270,,,,258.575,18.089,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,280,,,,276.664,18.33,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,290,,,,294.994,18.23,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,300,,,,313.224,19.236,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,310,,,,332.459,19.532,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,320,,,,351.991,19.444,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,330,,,,371.435,19.081,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,340,,,,390.516,18.707,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,350,,,,409.223,18.456,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,360,,,,427.679,18.847,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,370,,,,446.525,18.127,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,380,,,,464.653,18.171,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,390,,,,482.824,8.905,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,400,,,,491.729,6.349,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,410,,,,498.078,0.996,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,420,,,,499.074,5.665,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,430,,,,504.739,1.429,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,440,,,,506.167,0.639,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,450,,,,506.806,0.382,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,460,,,,507.188,1.853,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,470,,,,509.041,0.649,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,480,,,,509.69,1.352,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,490,,,,511.042,5.686,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,500,,,,516.728,1.001,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,510,,,,517.728,5.734,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,520,,,,523.463,18.37,,,,,,,,,,,,,
5dcc8b72-ec74-4fbc-98a5-54c2e5c902ed,ILI-22,2022,530,,,,541.833,18.338,,,,,,,,,,,,,
