insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,10,,,,0,0.322,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,20,,,,0.322,0.266,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,30,,,,0.588,10.384,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,40,,,,10.972,16.616,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,50,,,,27.588,19.068,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,60,,,,46.656,19.046,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,70,,,,65.702,18.952,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,80,,,,84.654,18.406,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,90,,,,103.06,18.994,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,100,,,,122.054,18.936,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,110,,,,140.99,18.874,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,120,,,,159.864,19.038,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,130,,,,178.902,18.962,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,140,,,,197.864,18.924,,,,,,,,,,,,,
77d22ccc-852f-45c1-bf3b-f50544f73531,ILI-15,2015,150,,,,216.788,18.954,,,,,,,,,,,,,
