insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,1,,,,0,15.426,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,2,,,,15.426,7.714,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,3,,,,23.14,16.252,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,4,,,,39.392,18.894,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,5,,,,58.286,18.884,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,6,,,,77.17,18.886,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,7,,,,96.056,18.892,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,8,,,,114.948,18.878,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,9,,,,133.826,18.92,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,10,,,,152.746,18.868,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,11,,,,171.614,18.898,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,12,,,,190.512,18.856,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,13,,,,209.368,18.884,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,14,,,,228.252,18.866,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,15,,,,247.118,18.892,,,,,,,,,,,,,
dc55e4d6-253a-46ef-be42-bf348030f623,ILI-18,2018,16,,,,266.01,18.832,,,,,,,,,,,,,
