insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,1,1,,,0,4.373,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,2,2,,,4.373,1,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,3,3,,,5.373,5.563,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,4,4,,,10.936,12.959,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,5,5,,,23.895,7.739,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,6,6,,,31.634,16.194,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,7,7,,,47.828,18.95,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,8,8,,,66.778,18.925,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,9,9,,,85.703,18.921,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,10,10,,,104.624,18.922,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,11,11,,,123.546,18.7,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,12,12,,,142.246,18.926,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,13,13,,,161.172,18.847,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,14,14,,,180.019,18.932,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,15,15,,,198.951,18.933,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,16,16,,,217.884,18.889,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,17,17,,,236.773,18.867,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,18,18,,,255.64,18.868,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,19,19,,,274.508,18.903,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,20,20,,,293.411,18.911,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,21,21,,,312.322,16.628,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,22,22,,,328.95,18.895,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,23,23,,,347.845,16.149,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,24,24,,,363.994,17.076,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,25,25,,,381.07,3.388,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,26,26,,,384.458,18.507,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,27,27,,,402.965,18.893,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,28,28,,,421.858,18.901,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,29,29,,,440.759,18.879,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,30,30,,,459.638,18.899,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,31,31,,,478.537,18.868,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,32,32,,,497.405,18.886,,,,,,,,,,,,,
dce0f272-d41e-4827-9ef5-acf207f68a35,ILI-22,2022,33,33,,,516.291,18.882,,,,,,,,,,,,,
