insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,10,,,,0.000,0.354,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,20,,,,0.354,0.190,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,30,,,,0.544,0.658,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,40,,,,1.202,0.618,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,50,,,,1.820,0.190,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,60,,,,2.010,5.212,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,70,,,,7.222,1.656,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,80,,,,8.878,5.214,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,90,,,,14.092,18.136,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,100,,,,32.228,1.496,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,110,,,,33.724,5.596,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,120,,,,39.320,9.308,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,130,,,,48.628,18.884,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,140,,,,67.512,18.898,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,150,,,,86.410,5.662,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,160,,,,92.072,9.544,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,170,,,,101.616,18.896,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,180,,,,120.512,18.872,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,190,,,,139.384,18.910,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,200,,,,158.294,18.916,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,210,,,,177.210,18.864,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,220,,,,196.074,18.844,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,230,,,,214.918,18.848,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,240,,,,233.766,18.874,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,250,,,,252.640,18.898,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,260,,,,271.538,18.746,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,270,,,,290.284,18.840,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,280,,,,309.124,18.866,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,290,,,,327.990,18.864,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,300,,,,346.854,18.852,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,310,,,,365.706,18.902,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,320,,,,384.608,18.828,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,330,,,,403.436,10.378,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,340,,,,413.814,18.898,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,350,,,,432.712,18.828,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,360,,,,451.540,18.880,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,370,,,,470.420,3.146,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,380,,,,473.566,14.140,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,390,,,,487.706,14.976,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,400,,,,502.682,16.822,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,410,,,,519.504,18.852,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,420,,,,538.356,18.776,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,430,,,,557.132,18.884,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,440,,,,576.016,16.786,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,450,,,,592.802,18.876,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,460,,,,611.678,18.850,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,470,,,,630.528,18.790,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,480,,,,649.318,15.632,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,490,,,,664.950,18.850,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,500,,,,683.800,18.902,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,510,,,,702.702,18.814,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,520,,,,721.516,16.838,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,530,,,,738.354,18.898,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,540,,,,757.252,18.860,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,550,,,,776.112,18.876,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,560,,,,794.988,16.930,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,570,,,,811.918,18.844,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,580,,,,830.762,18.872,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,590,,,,849.634,18.870,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,600,,,,868.504,18.832,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,610,,,,887.336,18.836,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,620,,,,906.172,18.906,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,630,,,,925.078,18.780,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,640,,,,943.858,18.892,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,650,,,,962.750,4.616,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,660,,,,967.366,18.830,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,670,,,,986.196,5.528,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,680,,,,991.724,4.854,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,690,,,,996.578,5.614,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,700,,,,1002.192,18.852,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,710,,,,1021.044,6.546,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,720,,,,1027.590,18.872,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,730,,,,1046.462,18.852,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,740,,,,1065.314,18.892,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,750,,,,1084.206,3.644,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,760,,,,1087.850,16.800,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,770,,,,1104.650,6.942,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,780,,,,1111.592,18.072,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,790,,,,1129.664,5.676,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,800,,,,1135.340,1.966,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,810,,,,1137.306,18.808,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,820,,,,1156.114,18.806,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,830,,,,1174.920,18.866,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,840,,,,1193.786,18.862,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,850,,,,1212.648,3.720,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,860,,,,1216.368,18.776,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,870,,,,1235.144,18.846,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,880,,,,1253.990,18.832,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,890,,,,1272.822,18.888,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,900,,,,1291.710,18.790,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,910,,,,1310.500,18.888,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,920,,,,1329.388,18.844,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,930,,,,1348.232,18.798,,,,,,,,,,,,,
910c166e-36fd-41b0-bfb7-fc30b9673afe,ILI-20,2020,940,,,,1367.030,18.854,,,,,,,,,,,,,
