insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,1,,,,-0.425,0.853,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,2,,,,0.428,0.309,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,3,,,,0.737,1.793,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,4,,,,2.53,0.873,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,5,,,,3.403,3.934,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,6,,,,7.337,2.152,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,7,,,,9.489,3.982,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,8,,,,13.471,0.599,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,9,,,,14.07,0.908,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,10,,,,14.978,18.877,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,11,,,,33.855,19.698,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,12,,,,53.553,6.503,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,13,,,,60.056,18.28,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,14,,,,78.336,18.283,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,15,,,,96.619,18.303,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,16,,,,114.922,13.91,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,17,,,,128.832,11.587,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,18,,,,140.419,11.048,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,19,,,,151.467,14.209,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,20,,,,165.676,18.22,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,21,,,,183.896,18.27,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,22,,,,202.166,18.266,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,23,,,,220.432,17.093,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,24,,,,237.525,18.276,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,25,,,,255.801,18.3,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,26,,,,274.101,18.27,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,27,,,,292.371,18.28,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,28,,,,310.651,18.293,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,29,,,,328.944,18.13,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,30,,,,347.074,18.305,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,31,,,,365.379,18.266,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,32,,,,383.645,18.3,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,33,,,,401.945,18.292,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,34,,,,420.237,18.285,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,35,,,,438.522,18.276,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,36,,,,456.798,18.285,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,37,,,,475.083,18.297,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,38,,,,493.38,18.283,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,39,,,,511.663,18.31,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,40,,,,529.973,18.283,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,41,,,,548.256,18.257,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,42,,,,566.513,18.216,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,43,,,,584.729,18.287,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,44,,,,603.016,18.298,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,45,,,,621.314,18.292,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,46,,,,639.606,18.151,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,47,,,,657.757,18.295,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,48,,,,676.052,18.318,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,49,,,,694.37,18.295,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,50,,,,712.665,18.297,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,51,,,,730.962,18.298,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,52,,,,749.26,18.305,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,53,,,,767.565,18.295,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,54,,,,785.86,18.318,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,55,,,,804.178,18.309,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,56,,,,822.487,18.306,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,57,,,,840.793,18.305,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,58,,,,859.098,18.307,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,59,,,,877.405,18.28,,,,,,,,,,,,,
b6b852e9-70e9-4eb7-acc4-d4c3353cd1ee,ILI-10,2010,60,,,,895.685,18.285,,,,,,,,,,,,,
