insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,10,,,,0,0.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,20,,,,0.478,0.8,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,30,,,,1.274,0.8,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,40,,,,2.024,0.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,50,,,,2.644,2.9,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,60,,,,5.554,9.8,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,70,,,,15.33,8.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,80,,,,23.488,10.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,90,,,,33.998,1.8,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,100,,,,35.776,0.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,110,,,,36.384,0.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,120,,,,36.894,1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,130,,,,37.852,0.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,140,,,,38.404,0.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,150,,,,39.02,2.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,160,,,,41.106,19,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,170,,,,60.106,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,180,,,,81.68,21.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,190,,,,103.152,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,200,,,,124.744,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,210,,,,146.356,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,220,,,,167.944,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,230,,,,189.562,21.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,240,,,,211.254,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,250,,,,232.878,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,260,,,,254.438,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,270,,,,276.048,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,280,,,,297.67,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,290,,,,319.27,21.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,300,,,,340.768,21.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,310,,,,362.27,21.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,320,,,,383.958,20.3,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,330,,,,404.278,6.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,340,,,,410.388,21.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,350,,,,432.1,5.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,360,,,,437.206,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,370,,,,458.826,15.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,380,,,,474.386,19.3,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,390,,,,493.718,18.9,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,400,,,,512.646,18.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,410,,,,531.368,8.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,420,,,,539.424,14.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,430,,,,553.608,20.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,440,,,,573.74,18.3,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,450,,,,591.99,19.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,460,,,,611.164,20.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,470,,,,631.374,14.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,480,,,,645.43,19.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,490,,,,664.508,16.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,500,,,,681.06,16.9,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,510,,,,697.976,17.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,520,,,,715.596,15.8,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,530,,,,731.37,18.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,540,,,,750.088,16.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,550,,,,766.704,19.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,560,,,,786.268,21.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,570,,,,807.924,18.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,580,,,,826.066,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,590,,,,847.662,16.9,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,600,,,,864.534,14.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,610,,,,879.19,21.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,620,,,,900.29,13.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,630,,,,913.91,14.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,640,,,,928.456,14.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,650,,,,942.984,14,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,660,,,,957.024,15,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,670,,,,972.032,17.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,680,,,,989.228,15.1,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,690,,,,1004.324,21.5,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,700,,,,1025.83,13.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,710,,,,1039.032,5.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,720,,,,1044.726,12.9,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,730,,,,1057.586,2.2,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,740,,,,1059.788,0.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,750,,,,1060.366,2.3,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,760,,,,1062.62,3,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,770,,,,1065.616,11.7,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,780,,,,1077.36,21.6,,,,,,,,,,,,,
f7e2c9d5-8a4b-4e1f-b3c6-d8a2e7f1c5b4,ILI-22,2022,790,,,,1098.924,21.6,,,,,,,,,,,,,
