insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,10,,,,-0.662,1.364,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,20,,,,0.702,1.582,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,40,,,,2.284,0.624,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,50,,,,2.908,0.8,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,60,,,,3.708,1.364,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,70,,,,5.072,1.116,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,80,,,,6.188,0.278,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,90,,,,6.466,5.77,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,100,,,,12.236,0.994,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,110,,,,13.23,5.78,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,120,,,,19.01,5.45,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,130,,,,24.46,1.694,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,140,,,,26.154,18.354,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,150,,,,44.508,18.446,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,160,,,,62.954,18.218,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,170,,,,81.172,18.378,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,180,,,,99.55,18.398,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,190,,,,117.948,18.446,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,200,,,,136.394,18.392,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,210,,,,154.786,18.252,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,220,,,,173.038,18.386,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,230,,,,191.424,18.388,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,240,,,,209.812,18.39,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,250,,,,228.202,18.386,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,260,,,,246.588,18.378,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,270,,,,264.966,18.438,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,280,,,,283.404,18.388,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,290,,,,301.792,18.366,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,300,,,,320.158,18.412,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,310,,,,338.57,18.386,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,320,,,,356.956,18.41,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,330,,,,375.366,18.378,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,340,,,,393.744,18.414,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,350,,,,412.158,18.394,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,360,,,,430.552,18.368,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,370,,,,448.92,18.392,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,380,,,,467.312,18.318,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,390,,,,485.63,8.504,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,400,,,,494.134,5.804,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,410,,,,499.938,1.008,,,,,,,,,,,,,
6f69d5d6-4d0e-4c16-a66d-207d03017b12,ILI-23,2023,420,,,,500.946,5.786,,,,,,,,,,,,,
