Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
80,100,1-to-1,0.99,10.5,10.515,0.015,23.6,0.0,False,False
490,610,1-to-1,0.881,16.6,16.9,0.3,664.8,10.515,False,False
560,630,1-to-1,0.821,21.7,21.124,0.576,786.6,27.415,False,False
600,660,1-to-1,0.929,14.7,14.545,0.155,864.9,48.539,False,False
630,680,1-to-1,0.765,14.5,15.02,0.52,914.3,63.084,False,False
640,700,1-to-1,0.733,14.5,15.092,0.592,928.8,78.104,False,False
650,720,1-to-1,0.614,14.0,13.212,0.788,943.3,93.196,False,False
"700,710",1050,2-to-1,0.824,18.9,19.261,0.361,1026.1,106.408,False,True
"720,730",1110,2-to-1,0.941,15.1,15.12,0.02,1045.0,125.669,False,True
1140,1160,1-to-1,0.867,3.4,3.333,0.067,1806.5,140.789,False,False
1180,1200,1-to-1,0.97,14.8,14.866,0.066,1851.4,144.122,False,False
1190,1240,1-to-1,0.963,14.8,14.882,0.082,1866.2,158.988,False,False
1200,1260,1-to-1,0.842,14.0,14.335,0.335,1881.0,173.87,False,False
1260,1300,1-to-1,0.778,16.9,17.471,0.571,1968.1,188.205,False,False
1340,1360,1-to-1,0.887,4.4,4.326,0.074,2112.4,205.676,False,False
1370,1410,1-to-1,0.994,21.6,21.58,0.02,2134.0,210.002,False,False
1400,1420,1-to-1,0.994,9.3,9.291,0.009,2198.8,231.582,False,False
1480,1500,1-to-1,0.973,15.0,15.061,0.061,2350.6,240.873,False,False
1490,1510,1-to-1,0.991,14.6,14.619,0.019,2365.6,255.934,False,False
1500,1520,1-to-1,0.994,14.5,14.512,0.012,2380.2,270.553,False,False
1510,1530,1-to-1,0.961,14.1,14.183,0.083,2394.7,285.065,False,False
1540,1600,1-to-1,0.988,21.6,21.64,0.04,2438.2,299.248,False,False
1550,"1690,1710",1-to-2,0.725,21.6,22.343,0.743,2459.8,320.888,True,False
1560,2120,1-to-1,0.991,21.6,21.628,0.028,2481.4,343.231,False,False
1570,2510,1-to-1,0.887,21.6,21.236,0.364,2503.0,364.859,False,False
1580,2530,1-to-1,0.954,21.6,21.45,0.15,2524.6,386.095,False,False
1590,2970,1-to-1,0.998,21.6,21.594,0.006,2546.2,407.545,False,False
1600,3030,1-to-1,0.979,21.7,21.633,0.067,2567.8,429.139,False,False
1610,3650,1-to-1,0.984,21.6,21.653,0.053,2589.5,450.772,False,False
"1680,1690",3930,2-to-1,0.846,22.0,21.66,0.34,2684.3,472.425,False,True
"1700,1710",3950,2-to-1,0.897,21.4,21.572,0.172,2706.3,494.085,False,True
1720,4380,1-to-1,0.998,21.6,21.592,0.008,2727.7,515.657,False,False
1730,5020,1-to-1,0.968,21.6,21.705,0.105,2749.3,537.249,False,False
2470,5850,1-to-1,0.66,9.4,9.892,0.492,4276.0,558.954,False,False
2820,5960,1-to-1,0.963,13.8,13.877,0.077,5009.2,568.846,False,False
2960,"6130,6140",1-to-2,0.937,20.4,20.36,0.04,5304.0,582.723,True,False
"5600,5610,5620,5630,5640",6160,5-to-1,0.743,9.3,9.221,0.079,10377.6,603.083,False,True
5960,6190,1-to-1,0.624,16.4,17.351,0.951,10749.2,612.304,False,False
5970,6200,1-to-1,0.809,11.9,12.246,0.346,10765.6,629.655,False,False
5980,6260,1-to-1,0.71,13.2,12.638,0.562,10777.5,641.901,False,False
6000,6440,1-to-1,0.818,13.7,14.079,0.379,10802.4,654.539,False,False
6050,6470,1-to-1,0.604,16.2,17.191,0.991,10867.6,668.618,False,False
6060,6510,1-to-1,0.984,13.2,13.169,0.031,10883.8,685.809,False,False
6070,6660,1-to-1,0.892,15.4,15.153,0.247,10897.0,698.978,False,False
6360,6820,1-to-1,0.921,14.1,14.269,0.169,11294.0,714.131,False,False
6520,6830,1-to-1,0.629,16.4,15.511,0.889,11535.2,728.4,False,False
6540,6850,1-to-1,0.781,14.2,14.675,0.475,11559.4,743.911,False,False
6550,6940,1-to-1,0.804,11.1,10.778,0.322,11573.6,758.586,False,False
6630,7050,1-to-1,0.676,15.0,15.748,0.748,11671.6,769.364,False,False
6880,7120,1-to-1,0.827,9.7,9.451,0.249,12010.1,785.112,False,False
6950,7190,1-to-1,0.652,11.3,11.905,0.605,12081.9,794.563,False,False
7020,7240,1-to-1,0.844,15.8,15.434,0.366,12165.3,806.468,False,False
7200,7260,1-to-1,0.747,15.0,14.442,0.558,12378.6,821.902,False,False
7290,7310,1-to-1,0.951,9.6,9.671,0.071,12520.3,836.344,False,False
7320,7360,1-to-1,0.911,18.7,18.951,0.251,12564.9,846.015,False,False
7340,7460,1-to-1,0.975,18.9,18.971,0.071,12587.4,864.966,False,False
7410,7500,1-to-1,0.82,12.4,12.069,0.331,12701.4,883.937,False,False
7530,7680,1-to-1,0.929,9.3,9.4,0.1,12857.0,896.006,False,False
7590,7730,1-to-1,0.611,6.7,6.32,0.38,12947.4,905.406,False,False
7730,7940,1-to-1,0.984,10.0,10.024,0.024,13056.7,911.726,False,False
"7790,7800",7960,2-to-1,0.743,16.0,16.504,0.504,13119.2,921.75,False,True
"7810,7820",7990,2-to-1,0.716,20.4,19.696,0.704,13135.2,938.254,False,True
7870,8060,1-to-1,0.905,17.1,16.857,0.243,13195.8,957.95,False,False
7880,8080,1-to-1,0.731,17.4,16.711,0.689,13212.9,974.807,False,False
7890,8090,1-to-1,0.606,16.6,17.611,1.011,13230.3,991.518,False,False
7910,8100,1-to-1,0.61,16.9,15.939,0.961,13263.9,1009.129,False,False
7950,8290,1-to-1,0.965,18.9,18.8,0.1,13324.4,1025.068,False,False
8260,8470,1-to-1,0.604,10.1,10.719,0.619,13707.6,1043.868,False,False
8520,8550,1-to-1,0.757,14.9,15.454,0.554,14058.0,1054.587,False,False
8530,8560,1-to-1,0.814,15.4,15.835,0.435,14072.9,1070.041,False,False
8560,8580,1-to-1,0.943,6.5,6.556,0.056,14116.6,1085.876,False,False
8610,8630,1-to-1,0.965,13.9,13.973,0.073,14167.8,1092.432,False,False
8620,8690,1-to-1,0.74,14.9,14.329,0.571,14181.7,1106.405,False,False
8680,8700,1-to-1,0.956,17.6,17.717,0.117,14271.0,1120.734,False,False
8730,8770,1-to-1,0.89,15.8,15.542,0.258,14339.7,1138.451,False,False
8760,8810,1-to-1,0.89,13.8,13.575,0.225,14386.3,1153.993,False,False
8810,8830,1-to-1,0.978,11.4,11.438,0.038,14446.4,1167.568,False,False
8820,8850,1-to-1,0.739,13.9,14.454,0.554,14457.8,1179.006,False,False
8890,8910,1-to-1,0.958,5.8,5.837,0.037,14559.3,1193.46,False,False
8900,8930,1-to-1,0.673,12.7,13.338,0.638,14565.1,1199.297,False,False
9060,"9170,9230,9280",1-to-3,0.6,7.3,6.979,0.321,14764.9,1212.635,True,False
"9080,9090",9630,2-to-1,0.737,13.6,14.041,0.441,14781.6,1219.614,False,True
"9290,9300,9310",9640,3-to-1,0.798,12.9,13.099,0.199,14906.3,1233.655,False,True
9360,9910,1-to-1,0.83,15.9,16.311,0.411,14950.1,1246.754,False,False
"9380,9390,9400,9410",9920,4-to-1,0.751,14.8,15.022,0.222,14977.0,1263.065,False,True
"9470,9480,9490,9500,9510",9940,5-to-1,0.781,18.7,18.752,0.052,15033.4,1278.087,False,True
9520,10040,1-to-1,0.659,12.0,11.401,0.599,15052.1,1296.839,False,False
9530,10050,1-to-1,0.661,13.2,12.546,0.654,15064.1,1308.24,False,False
9610,10120,1-to-1,0.675,14.1,13.429,0.671,15156.4,1320.786,False,False
9620,10230,1-to-1,0.834,13.1,13.431,0.331,15170.5,1334.215,False,False
9630,10250,1-to-1,0.92,14.7,14.877,0.177,15183.6,1347.646,False,False
9750,"10340,10380",1-to-2,0.811,13.3,13.025,0.275,15363.8,1362.523,True,False
9760,"10610,10630",1-to-2,0.627,18.9,19.839,0.939,15377.1,1375.548,True,False
"9780,9790",10640,2-to-1,0.612,18.4,17.489,0.911,15401.0,1395.387,False,True
9840,10900,1-to-1,0.725,14.9,15.528,0.628,15471.1,1412.876,False,False
9880,10920,1-to-1,0.954,14.5,14.601,0.101,15523.9,1428.404,False,False
9920,10930,1-to-1,0.912,18.7,18.454,0.246,15584.2,1443.005,False,False
10040,11030,1-to-1,0.715,13.1,13.673,0.573,15765.9,1461.459,False,False
10070,11050,1-to-1,0.625,14.9,14.084,0.816,15804.1,1475.132,False,False
10270,11070,1-to-1,0.928,16.4,16.578,0.178,16110.7,1489.216,False,False
10280,11120,1-to-1,0.742,17.6,16.932,0.668,16127.1,1505.794,False,False
10290,11130,1-to-1,0.984,17.8,17.843,0.043,16144.7,1522.726,False,False
10300,"11190,11200",1-to-2,0.75,17.6,18.136,0.536,16162.5,1540.569,True,False
10310,"11240,11270",1-to-2,0.943,17.2,17.181,0.019,16180.1,1558.705,True,False
10330,11360,1-to-1,0.675,17.8,18.69,0.89,16200.3,1575.886,False,False
10360,11390,1-to-1,0.808,10.0,10.292,0.292,16254.7,1594.576,False,False
10510,11430,1-to-1,0.978,18.9,18.962,0.062,16296.8,1604.868,False,False
10520,"11500,11540",1-to-2,0.601,17.2,18.125,0.925,16315.7,1623.83,True,False
11200,11590,1-to-1,0.729,9.4,9.79,0.39,17291.0,1641.955,False,False
"11590,11600",11880,2-to-1,0.856,14.0,13.803,0.197,17682.5,1651.745,False,True
"11630,11640",11910,2-to-1,0.696,16.1,15.497,0.603,17710.5,1665.548,False,True
"11650,11660",11960,2-to-1,0.743,17.4,16.869,0.531,17726.6,1681.045,False,True
11940,12010,1-to-1,0.987,16.8,16.768,0.032,18154.7,1697.914,False,False
12010,12030,1-to-1,0.989,11.3,11.319,0.019,18272.5,1714.682,False,False
12020,12080,1-to-1,0.951,14.7,14.593,0.107,18283.8,1726.001,False,False
12090,12140,1-to-1,0.84,16.5,16.902,0.402,18387.7,1740.594,False,False
12250,12320,1-to-1,0.627,9.2,9.73,0.53,18609.3,1757.496,False,False
12260,12340,1-to-1,0.963,9.3,9.249,0.051,18618.5,1767.226,False,False
12270,12360,1-to-1,0.811,9.3,9.567,0.267,18627.8,1776.475,False,False
"12280,12290",12690,2-to-1,0.701,14.6,14.065,0.535,18637.1,1786.042,False,True
12640,12700,1-to-1,0.866,14.6,14.309,0.291,19029.7,1800.107,False,False
12680,12710,1-to-1,0.681,14.3,15.002,0.702,19086.2,1814.416,False,False
12710,12730,1-to-1,0.926,9.1,9.202,0.102,19130.6,1829.418,False,False
12770,12790,1-to-1,0.994,15.4,15.413,0.013,19187.0,1838.62,False,False
12780,12800,1-to-1,0.96,11.5,11.431,0.069,19202.4,1854.033,False,False
12800,12820,1-to-1,0.974,10.1,10.06,0.04,19229.0,1865.464,False,False
12830,12850,1-to-1,0.99,11.1,11.084,0.016,19263.9,1875.524,False,False
12920,12940,1-to-1,0.97,15.5,15.571,0.071,19363.9,1886.608,False,False
12930,12950,1-to-1,0.97,10.0,10.045,0.045,19379.4,1902.179,False,False
12950,12970,1-to-1,0.973,18.6,18.676,0.076,19404.0,1912.224,False,False
12960,"13140,13150",1-to-2,0.887,18.1,17.929,0.171,19422.6,1930.9,True,False
"13180,13190",13400,2-to-1,0.68,12.4,12.913,0.513,19650.2,1948.829,False,True
"13280,13290",13420,2-to-1,0.835,13.7,13.466,0.234,19747.2,1961.742,False,True
13370,13480,1-to-1,0.666,12.7,13.352,0.652,19847.5,1975.208,False,False
13580,13700,1-to-1,0.896,9.8,9.954,0.154,20158.2,1988.56,False,False
13590,13780,1-to-1,0.917,16.4,16.605,0.205,20168.0,1998.514,False,False
13780,13800,1-to-1,0.967,6.4,6.432,0.032,20429.3,2015.119,False,False
"13790,13800,13810",13910,3-to-1,0.69,14.9,15.376,0.476,20435.7,2021.551,False,True
13860,13960,1-to-1,0.913,18.2,18.439,0.239,20478.9,2036.927,False,False
14020,14180,1-to-1,0.687,12.1,12.681,0.581,20701.5,2055.366,False,False
14220,14270,1-to-1,0.957,13.9,13.81,0.09,20985.7,2068.047,False,False
14290,14340,1-to-1,0.861,16.2,15.866,0.334,21086.0,2081.857,False,False
14440,14460,1-to-1,0.983,13.3,13.267,0.033,21313.2,2097.723,False,False
14470,14520,1-to-1,0.865,15.5,15.818,0.318,21351.6,2110.99,False,False
14480,14540,1-to-1,0.721,15.5,14.864,0.636,21367.1,2126.808,False,False
14530,14850,1-to-1,0.909,4.0,4.055,0.055,21438.3,2141.672,False,False
"14610,14620",15980,2-to-1,0.94,21.6,21.632,0.032,21545.9,2145.727,False,True
"14800,14810",16240,2-to-1,0.932,21.7,21.759,0.059,21775.4,2167.359,False,True
"15070,15080",16350,2-to-1,0.848,21.7,21.37,0.33,21857.4,2189.118,False,True
15090,17160,1-to-1,0.975,21.7,21.62,0.08,21879.1,2210.488,False,False
15100,17380,1-to-1,0.993,21.6,21.622,0.022,21900.8,2232.108,False,False
15110,18210,1-to-1,0.902,21.3,21.615,0.315,21922.4,2253.73,False,False
15500,18360,1-to-1,0.678,20.2,19.247,0.953,22746.0,2275.345,False,False
15510,18940,1-to-1,0.953,21.5,21.653,0.153,22766.2,2294.592,False,False
15520,19260,1-to-1,0.973,21.6,21.513,0.087,22787.7,2316.245,False,False
15530,20990,1-to-1,0.968,21.6,21.497,0.103,22809.3,2337.758,False,False
15540,21260,1-to-1,0.998,21.6,21.606,0.006,22830.9,2359.255,False,False
15550,21370,1-to-1,0.995,21.6,21.583,0.017,22852.5,2380.861,False,False
16040,21570,1-to-1,0.791,16.0,16.509,0.509,23878.3,2402.444,False,False
16050,21760,1-to-1,0.996,21.6,21.586,0.014,23894.3,2418.953,False,False
16060,21840,1-to-1,0.84,21.6,21.088,0.512,23915.9,2440.539,False,False
18480,22130,1-to-1,0.681,6.7,6.387,0.313,28820.7,2461.627,False,False
18490,22160,1-to-1,0.977,21.6,21.676,0.076,28827.4,2468.014,False,False
18680,22330,1-to-1,0.632,20.1,19.021,1.079,29215.8,2489.69,False,False
"18690,18700",23290,2-to-1,0.787,22.0,21.467,0.533,29235.9,2508.711,False,True
18710,23640,1-to-1,0.96,21.7,21.571,0.129,29257.9,2530.178,False,False
18720,23850,1-to-1,0.973,21.6,21.514,0.086,29279.6,2551.749,False,False
18730,24060,1-to-1,0.989,21.6,21.637,0.037,29301.2,2573.263,False,False
18740,24700,1-to-1,0.937,21.4,21.603,0.203,29322.8,2594.9,False,False
18750,24920,1-to-1,0.985,21.6,21.551,0.049,29344.2,2616.503,False,False
18760,25080,1-to-1,0.981,21.6,21.537,0.063,29365.8,2638.054,False,False
18770,25950,1-to-1,0.99,21.6,21.632,0.032,29387.4,2659.591,False,False
18780,26000,1-to-1,0.989,21.6,21.564,0.036,29409.0,2681.223,False,False
18800,26140,1-to-1,0.986,21.6,21.646,0.046,29447.1,2702.787,False,False
18810,26340,1-to-1,0.998,21.6,21.608,0.008,29468.7,2724.433,False,False
18820,26370,1-to-1,0.968,21.5,21.604,0.104,29490.3,2746.041,False,False
18830,26450,1-to-1,0.964,21.7,21.583,0.117,29511.8,2767.645,False,False
18840,26510,1-to-1,0.976,21.6,21.521,0.079,29533.5,2789.228,False,False
18850,26550,1-to-1,0.985,21.6,21.551,0.049,29555.1,2810.749,False,False
18860,26580,1-to-1,0.962,21.7,21.578,0.122,29576.7,2832.3,False,False
18870,26590,1-to-1,0.988,21.6,21.562,0.038,29598.4,2853.878,False,False
18880,26650,1-to-1,1.0,21.6,21.6,0.0,29620.0,2875.44,False,False
18890,26770,1-to-1,0.732,21.6,20.749,0.851,29641.6,2897.04,False,False
18900,26840,1-to-1,0.987,21.7,21.657,0.043,29663.2,2917.789,False,False
18910,26920,1-to-1,0.962,21.7,21.577,0.123,29684.9,2939.446,False,False
18920,26950,1-to-1,0.974,21.6,21.515,0.085,29706.6,2961.023,False,False
20360,27050,1-to-1,0.845,17.0,16.61,0.39,32720.1,2982.538,False,False
20370,27260,1-to-1,0.863,21.6,21.161,0.439,32737.1,2999.148,False,False
20380,27330,1-to-1,0.901,21.2,21.516,0.316,32758.7,3020.309,False,False
20390,27520,1-to-1,0.999,21.6,21.604,0.004,32779.9,3041.825,False,False
20420,27760,1-to-1,0.954,21.5,21.649,0.149,32807.9,3063.429,False,False
20430,27800,1-to-1,0.982,21.6,21.658,0.058,32829.4,3085.078,False,False
20440,27950,1-to-1,0.999,21.7,21.704,0.004,32851.0,3106.736,False,False
20480,28010,1-to-1,0.701,20.7,21.651,0.951,32895.4,3128.44,False,False
20490,28140,1-to-1,0.965,21.5,21.614,0.114,32916.1,3150.091,False,False
20530,28230,1-to-1,0.989,21.6,21.637,0.037,32961.3,3171.705,False,False
20540,28370,1-to-1,0.977,21.7,21.624,0.076,32982.9,3193.342,False,False
20580,28390,1-to-1,0.978,21.7,21.628,0.072,33043.9,3214.966,False,False
20590,28510,1-to-1,0.999,21.6,21.602,0.002,33065.6,3236.594,False,False
20600,28680,1-to-1,0.995,21.6,21.617,0.017,33087.2,3258.196,False,False
20620,28800,1-to-1,0.963,21.8,21.679,0.121,33117.5,3279.813,False,False
20630,28890,1-to-1,0.981,21.7,21.638,0.062,33139.3,3301.492,False,False
20640,29070,1-to-1,0.984,21.5,21.553,0.053,33161.0,3323.13,False,False
20650,29120,1-to-1,0.962,21.7,21.578,0.122,33182.5,3344.683,False,False
20660,29350,1-to-1,0.983,21.7,21.646,0.054,33204.2,3366.261,False,False
20670,29460,1-to-1,0.967,21.7,21.593,0.107,33225.9,3387.907,False,False
20680,29550,1-to-1,0.994,21.6,21.619,0.019,33247.6,3409.5,False,False
20690,29600,1-to-1,0.986,21.7,21.655,0.045,33269.2,3431.119,False,False
20700,29830,1-to-1,0.972,21.6,21.692,0.092,33290.9,3452.774,False,False
22220,30510,1-to-1,0.888,3.2,3.254,0.054,36428.2,3474.466,False,False
