insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,,1,,Area Start Launcher,-0.95,,,0.02,,,,,,,,,54.86381191,-118.9998649,738.6107
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,10,,,Girth Weld,-0.93,0.45,,0.45,,,,,,,12.7,,54.86381207,-118.9998665,738.6108
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,10,2,,Tap,-0.83,,0.1,0.35,,,,,,,12.7,,54.86381247,-118.9998703,738.6111
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,10,3,,Tap,-0.58,,0.35,0.1,,,,,,,12.7,,54.86381263,-118.9998719,738.6112
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,20,,,Girth Weld,-0.48,0.96,0.45,0.96,,,,,,,12.7,,54.86381284,-118.9998739,738.6113
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,20,4,,Flange,-0.34,,0.13,0.83,,,,,,,12.7,,54.86381338,-118.9998791,738.6117
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,20,5,,Valve,0,,0.47,0.49,,,,,,,12.7,,54.86381392,-118.9998844,738.6121
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,20,6,,Flange,0.34,,0.82,0.14,,,,,,,12.7,,54.86381415,-118.9998866,738.6122
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,30,,,Girth Weld,0.49,0.37,0.96,0.37,,,,,,,12.7,,54.86381443,-118.9998894,738.6127
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,30,7,,Tee,0.67,,0.19,0.18,,,,,,,12.7,,54.8638147,-118.9998922,738.6138
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,40,,,Girth Weld,0.85,0.35,0.37,0.35,,,,,,,12.7,,54.86381495,-118.9998948,738.6144
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,40,8,,Tee,1.03,,0.17,0.18,,,,,,,12.7,,54.86381523,-118.9998976,738.6141
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,50,,,Girth Weld,1.21,0.7,0.35,0.7,,,,,,,12.7,,54.86381629,-118.9999082,738.6144
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,60,,,Girth Weld wall thickness down,1.9,0.95,0.7,0.95,,,,,,,7.11,,54.8638165,-118.9999104,738.615
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,60,9,,Flange,2.04,,0.14,0.81,,,,,,,7.11,,54.863817,-118.9999155,738.615
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,60,10,,Valve,2.37,,0.47,0.48,,,,,,,7.11,,54.8638175,-118.9999207,738.6144
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,60,11,,Flange,2.72,,0.82,0.13,,,,,,,7.11,,54.86381769,-118.9999228,738.6139
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,70,,,Girth Weld,2.85,0.38,0.95,0.38,,,,,,,7.11,,54.86381795,-118.9999257,738.6133
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,70,12,,Tee,3.04,,0.19,0.2,,,,,,,7.11,,54.86381826,-118.9999286,738.6129
8c7f3d9a-2e5b-4a1c-8f6d-3e2a9b5c1d7f,ILI-19,2019,80,,,Girth Weld,3.24,0.35,0.38,0.35,,,,,,,7.11,,54.86381855,-118.9999314,738.6125
