insp_guid,ili_id,iliyr,joint_number,feature_number,cluster_number,feature_ type,distance ,joint_length,,dist_to_us,dist_to_gs,length,wideth,depth,wall_surface,estimated_repair_factor,burst_pressure,wall_thickness,od_restriction,latitude,longitude,elevation
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,10,,,Joint,0,0.349,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,10,1,,Ball Valve,0,0.349,,0,0.349,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,10,2,,Flange,0.277,0.349,,0.277,0.072,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,20,,,Joint,0.349,0.737,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,30,,,Joint,1.086,0.292,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,30,3,,T-Piece,1.241,0.292,,0.155,0.137,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,40,,,Joint,1.378,0.299,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,40,4,,T-Piece,1.519,0.299,,0.141,0.158,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,50,,,Joint,1.677,0.581,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,50,5,,Tap,1.944,0.581,,0.267,0.314,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,50,6,,Tap,2.151,0.581,,0.474,0.107,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,60,,,Joint,2.258,0.295,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,60,7,,Flange,2.396,0.295,,0.138,0.156,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,70,,,Joint,2.553,4.401,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,70,8,,Tap,2.908,4.401,,0.355,4.046,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,70,9,,Anchor,2.973,4.401,,0.42,3.981,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,70,10,,Tap,3.343,4.401,,0.79,3.611,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,70,11,,Bend,5.148,4.401,,2.596,1.805,2666,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,80,,,Joint,6.954,0.19,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,80,12,,Anchor,7.039,0.19,,0.085,0.105,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,90,,,Joint,7.144,4.46,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,90,13,,Bend,9.748,4.46,,2.604,1.856,2634,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,100,,,Joint,11.604,0.992,,,,,,,,,,10.97,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,110,,,Joint,12.596,6.902,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,110,14,,Wall Thickness Down,12.596,6.902,,0,6.902,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,110,15,,Bend,16.466,6.902,,3.87,3.032,5240,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,120,,,Joint,19.498,14.54,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,130,,,Joint,34.038,18.227,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,140,,,Joint,52.265,19.015,,,,,,,,,,5.16,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,140,16,,Wall Thickness Down,52.31,19.015,,0.045,18.97,,,,,,,5.16,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,150,,,Joint,71.28,18.704,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,150,17,,Wall Thickness Up,71.28,18.704,,0,18.704,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,150,18,,Metal Loss,71.326,18.704,,0.046,18.657,4,18,0.14,External,0.308,32273,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,160,,,Joint,89.984,10.008,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,170,,,Joint,99.992,6.762,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,170,19,,Bend,103.766,6.762,,3.774,2.988,4982,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,180,,,Joint,106.754,18.852,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,190,,,Joint,125.606,18.804,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,200,,,Joint,144.41,18.682,,,,,,,,,,6.35,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,210,,,Joint,163.092,18.948,,,,,,,,,,5.16,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,210,20,,Wall Thickness Down,163.136,18.948,,0.044,18.904,,,,,,,5.16,,,,
6ba7b810-9dad-11d1-80b4-00c04fd430c8,ILI-20,2020,210,21,,Wall Thickness Up,182.036,18.948,,18.944,0.004,,,,,,,5.16,,,,
