Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
11,120,marker,0.881,3.304,3.35,0.046,4.924,5.92,False,False
12,130,marker,0.882,0.268,0.27,0.002,8.228,9.27,False,False
13,140,marker,0.857,6.374,6.44,0.066,8.496,9.54,False,False
14,150,1-to-1,0.977,6.492,6.47,0.022,14.87,15.98,False,False
15,160,1-to-1,0.879,6.354,6.47,0.116,21.362,22.45,False,False
16,170,1-to-1,0.994,6.456,6.45,0.006,27.716,28.92,False,False
17,180,1-to-1,1.0,6.48,6.48,0.0,34.172,35.37,False,False
18,190,marker,0.857,0.882,0.92,0.038,40.652,41.85,False,False
19,"200,210",1-to-2,0.924,18.12,18.05,0.07,41.534,42.77,True,False
20,220,marker,0.845,2.856,2.84,0.016,59.654,60.82,False,False
21,230,marker,0.849,18.182,18.08,0.102,62.51,63.66,False,False
22,240,1-to-1,0.937,18.222,18.05,0.172,80.692,81.74,False,False
23,250,1-to-1,0.943,18.226,18.07,0.156,98.914,99.79,False,False
24,260,1-to-1,0.931,18.128,17.94,0.188,117.14,117.86,False,False
25,270,1-to-1,0.928,15.962,15.79,0.172,135.268,135.8,False,False
26,280,1-to-1,0.932,16.012,15.85,0.162,151.23,151.59,False,False
27,290,1-to-1,0.923,15.64,15.46,0.18,167.242,167.44,False,False
28,300,marker,0.948,11.646,11.51,0.136,182.882,182.9,False,False
29,310,1-to-1,0.927,10.262,10.15,0.112,194.528,194.41,False,False
30,320,1-to-1,0.928,8.42,8.33,0.09,204.79,204.56,False,False
31,330,1-to-1,0.927,9.888,9.78,0.108,213.21,212.89,False,False
32,340,marker,0.885,18.174,18.0,0.174,223.098,222.67,False,False
33,350,1-to-1,0.933,16.04,15.88,0.16,241.272,240.67,False,False
34,360,1-to-1,0.928,18.206,18.01,0.196,257.312,256.55,False,False
35,370,1-to-1,0.923,18.23,18.02,0.21,275.518,274.56,False,False
36,380,1-to-1,0.929,18.192,18.0,0.192,293.748,292.58,False,False
37,390,1-to-1,0.906,18.164,17.91,0.254,311.94,310.58,False,False
38,400,1-to-1,0.931,15.874,15.71,0.164,330.104,328.49,False,False
39,410,1-to-1,0.93,18.17,17.98,0.19,345.978,344.2,False,False
40,420,marker,0.746,14.842,14.69,0.152,364.148,362.18,False,False
41,430,marker,0.714,18.21,18.01,0.2,378.99,376.87,False,False
42,440,1-to-1,0.928,18.196,18.0,0.196,397.2,394.88,False,False
43,450,1-to-1,0.926,18.202,18.0,0.202,415.396,412.88,False,False
44,460,1-to-1,0.922,18.192,17.98,0.212,433.598,430.88,False,False
45,470,1-to-1,0.924,18.216,18.01,0.206,451.79,448.86,False,False
46,480,1-to-1,0.934,18.18,18.0,0.18,470.006,466.87,False,False
47,490,1-to-1,0.918,18.224,18.0,0.224,488.186,484.87,False,False
48,500,1-to-1,0.926,18.19,17.99,0.2,506.41,502.87,False,False
49,510,1-to-1,0.931,18.156,17.97,0.186,524.6,520.86,False,False
50,520,1-to-1,0.928,15.466,15.3,0.166,542.756,538.83,False,False
51,530,1-to-1,0.907,18.202,17.95,0.252,558.222,554.13,False,False
52,540,1-to-1,0.921,17.91,17.7,0.21,576.424,572.08,False,False
53,550,1-to-1,0.935,18.206,18.03,0.176,594.334,589.78,False,False
54,560,1-to-1,0.926,18.192,17.99,0.202,612.54,607.81,False,False
55,570,1-to-1,0.921,15.098,14.92,0.178,630.732,625.8,False,False
